NewId,NewSleepDate,Total_Minutes_Asleep,Total_Time_In_Bed
2347167796,4/28/2016,408,450
2347167796,4/29/2016,411,473
3977333714,4/12/2016,274,469
3977333714,4/13/2016,295,456
3977333714,4/14/2016,291,397
3977333714,4/15/2016,424,556
3977333714,4/16/2016,283,510
3977333714,4/17/2016,381,566
3977333714,4/18/2016,412,522
3977333714,4/19/2016,219,395
3977333714,4/20/2016,152,305
3977333714,4/21/2016,332,512
3977333714,4/22/2016,355,476
3977333714,4/23/2016,235,372
3977333714,4/24/2016,310,526
3977333714,4/25/2016,262,467
3977333714,4/26/2016,250,371
3977333714,4/27/2016,349,540
3977333714,4/28/2016,261,423
3977333714,4/29/2016,333,478
3977333714,4/30/2016,237,382
3977333714,5/1/2016,383,626
3977333714,5/10/2016,312,452
3977333714,5/2/2016,230,384
3977333714,5/3/2016,292,500
3977333714,5/4/2016,213,336
3977333714,5/5/2016,318,480
3977333714,5/6/2016,323,512
3977333714,5/7/2016,237,443
3977333714,5/8/2016,259,456
4020332650,4/12/2016,501,541
4020332650,4/16/2016,77,77
4020332650,5/10/2016,442,494
4020332650,5/3/2016,322,332
4020332650,5/4/2016,478,536
4020332650,5/5/2016,226,248
4020332650,5/6/2016,385,408
4020332650,5/8/2016,364,402
4319703577,4/14/2016,535,557
4319703577,4/15/2016,465,491
4319703577,4/16/2016,506,522
4319703577,4/18/2016,515,551
4319703577,4/19/2016,461,498
4319703577,4/20/2016,523,543
4319703577,4/21/2016,59,65
4319703577,4/22/2016,533,550
4319703577,4/23/2016,692,722
4319703577,4/24/2016,467,501
4319703577,4/25/2016,488,506
4319703577,4/26/2016,505,516
4319703577,4/27/2016,286,307
4319703577,4/28/2016,497,522
4319703577,4/29/2016,523,546
4319703577,4/30/2016,490,516
4319703577,5/1/2016,484,500
4319703577,5/10/2016,487,517
4319703577,5/11/2016,529,558
4319703577,5/12/2016,302,321
4319703577,5/2/2016,478,506
4319703577,5/3/2016,474,512
4319703577,5/6/2016,450,491
4319703577,5/7/2016,507,530
4319703577,5/8/2016,602,638
4319703577,5/9/2016,535,565
4388161847,4/15/2016,499,526
4388161847,4/16/2016,426,448
4388161847,4/17/2016,619,641
4388161847,4/18/2016,99,104
4388161847,4/19/2016,329,338
4388161847,4/20/2016,421,451
4388161847,4/21/2016,442,458
4388161847,4/22/2016,82,85
4388161847,4/23/2016,478,501
4388161847,4/24/2016,552,595
4388161847,4/26/2016,319,346
4388161847,4/27/2016,439,500
4388161847,4/28/2016,428,458
4388161847,4/30/2016,409,430
4388161847,5/1/2016,547,597
4388161847,5/10/2016,354,375
4388161847,5/11/2016,469,494
4388161847,5/2/2016,368,376
4388161847,5/4/2016,390,414
4388161847,5/5/2016,471,495
4388161847,5/7/2016,472,496
4388161847,5/8/2016,529,541
4388161847,5/9/2016,62,65
4445114986,4/12/2016,429,457
4445114986,4/13/2016,370,406
4445114986,4/14/2016,441,492
4445114986,4/15/2016,337,379
4445114986,4/16/2016,462,499
4445114986,4/17/2016,98,107
4445114986,4/19/2016,388,424
4445114986,4/20/2016,439,462
4445114986,4/21/2016,436,469
4445114986,4/22/2016,388,417
4445114986,4/25/2016,328,345
4445114986,4/26/2016,353,391
4445114986,4/27/2016,332,374
4445114986,4/28/2016,419,442
4445114986,4/29/2016,106,108
4445114986,4/30/2016,322,353
4445114986,5/1/2016,439,459
4445114986,5/10/2016,405,426
4445114986,5/11/2016,499,530
4445114986,5/12/2016,483,501
4445114986,5/2/2016,502,542
4445114986,5/3/2016,417,450
4445114986,5/4/2016,337,363
4445114986,5/5/2016,462,513
4445114986,5/6/2016,374,402
4445114986,5/7/2016,401,436
4445114986,5/8/2016,361,391
4445114986,5/9/2016,457,533
4558609924,4/21/2016,126,137
4558609924,4/26/2016,103,121
4558609924,4/29/2016,171,179
4558609924,5/1/2016,115,129
4558609924,5/8/2016,123,134
4702921684,4/12/2016,425,439
4702921684,4/13/2016,400,430
4702921684,4/14/2016,384,415
4702921684,4/15/2016,253,257
4702921684,4/16/2016,382,406
4702921684,4/17/2016,591,612
4702921684,4/18/2016,293,312
4702921684,4/19/2016,457,487
4702921684,4/20/2016,454,468
4702921684,4/21/2016,425,434
4702921684,4/23/2016,465,475
4702921684,4/24/2016,480,506
4702921684,4/25/2016,370,380
4702921684,4/26/2016,421,429
4702921684,4/27/2016,432,449
4702921684,4/28/2016,442,461
4702921684,4/29/2016,433,447
4702921684,4/30/2016,479,501
4702921684,5/10/2016,416,431
4702921684,5/11/2016,354,366
4702921684,5/12/2016,404,442
4702921684,5/3/2016,327,373
4702921684,5/4/2016,412,434
4702921684,5/5/2016,414,428
4702921684,5/6/2016,404,449
4702921684,5/7/2016,520,543
4702921684,5/9/2016,435,458
5553957443,4/12/2016,441,464
5553957443,4/13/2016,455,488
5553957443,4/14/2016,357,418
5553957443,4/15/2016,377,409
5553957443,4/16/2016,651,686
5553957443,4/17/2016,350,402
5553957443,4/18/2016,520,541
5553957443,4/19/2016,357,410
5553957443,4/20/2016,658,678
5553957443,4/21/2016,399,431
5553957443,4/22/2016,322,353
5553957443,4/23/2016,631,725
5553957443,4/24/2016,553,640
5553957443,4/25/2016,433,468
5553957443,4/26/2016,412,453
5553957443,4/27/2016,347,391
5553957443,4/28/2016,421,457
5553957443,4/29/2016,450,495
5553957443,4/30/2016,775,843
5553957443,5/1/2016,622,686
5553957443,5/10/2016,418,443
5553957443,5/11/2016,463,486
5553957443,5/12/2016,438,475
5553957443,5/2/2016,409,471
5553957443,5/3/2016,380,429
5553957443,5/4/2016,447,470
5553957443,5/5/2016,419,464
5553957443,5/6/2016,400,434
5553957443,5/7/2016,442,470
5553957443,5/8/2016,568,608
5553957443,5/9/2016,453,494
5577150313,4/12/2016,419,438
5577150313,4/13/2016,432,458
5577150313,4/14/2016,477,497
5577150313,4/15/2016,392,413
5577150313,4/16/2016,406,445
5577150313,4/17/2016,549,583
5577150313,4/18/2016,527,553
5577150313,4/19/2016,449,465
5577150313,4/20/2016,447,480
5577150313,4/21/2016,414,437
5577150313,4/22/2016,338,366
5577150313,4/23/2016,384,402
5577150313,4/24/2016,543,615
5577150313,4/25/2016,421,461
5577150313,4/26/2016,354,377
5577150313,4/27/2016,424,452
5577150313,4/28/2016,361,372
5577150313,4/29/2016,459,485
5577150313,4/30/2016,412,433
5577150313,5/1/2016,379,398
5577150313,5/10/2016,504,562
5577150313,5/11/2016,431,476
5577150313,5/2/2016,525,553
5577150313,5/3/2016,508,543
5577150313,5/4/2016,603,634
5577150313,5/5/2016,74,78
6117666160,4/16/2016,380,398
6117666160,4/17/2016,336,350
6117666160,4/18/2016,493,510
6117666160,4/19/2016,465,492
6117666160,4/20/2016,474,502
6117666160,4/21/2016,508,550
6117666160,4/22/2016,480,546
6117666160,4/23/2016,492,539
6117666160,4/24/2016,353,367
6117666160,4/27/2016,542,557
6117666160,4/28/2016,393,416
6117666160,4/29/2016,600,636
6117666160,5/1/2016,507,575
6117666160,5/5/2016,392,415
6117666160,5/6/2016,658,698
6117666160,5/7/2016,498,507
6117666160,5/8/2016,555,603
6117666160,5/9/2016,492,522
6775888955,4/13/2016,235,260
6775888955,4/14/2016,423,441
6775888955,4/15/2016,391,406
6962181067,4/12/2016,366,387
6962181067,4/13/2016,630,679
6962181067,4/14/2016,508,535
6962181067,4/15/2016,370,386
6962181067,4/16/2016,357,366
6962181067,4/17/2016,427,446
6962181067,4/18/2016,442,458
6962181067,4/19/2016,476,535
6962181067,4/20/2016,418,424
6962181067,4/21/2016,451,457
6962181067,4/22/2016,425,435
6962181067,4/23/2016,528,546
6962181067,4/24/2016,511,514
6962181067,4/25/2016,400,415
6962181067,4/26/2016,441,446
6962181067,4/27/2016,455,467
6962181067,4/28/2016,440,453
6962181067,4/29/2016,433,447
6962181067,4/30/2016,422,424
6962181067,5/1/2016,411,426
6962181067,5/10/2016,469,481
6962181067,5/11/2016,452,480
6962181067,5/12/2016,516,535
6962181067,5/2/2016,466,482
6962181067,5/3/2016,394,418
6962181067,5/4/2016,442,455
6962181067,5/5/2016,467,491
6962181067,5/6/2016,443,462
6962181067,5/7/2016,298,334
6962181067,5/8/2016,541,569
6962181067,5/9/2016,489,497
7007744171,4/16/2016,79,82
7007744171,5/1/2016,58,61
7086361926,4/12/2016,514,525
7086361926,4/13/2016,451,465
7086361926,4/14/2016,472,476
7086361926,4/15/2016,377,386
7086361926,4/19/2016,472,483
7086361926,4/20/2016,492,502
7086361926,4/21/2016,390,411
7086361926,4/22/2016,428,448
7086361926,4/24/2016,681,704
7086361926,4/25/2016,446,447
7086361926,4/26/2016,485,500
7086361926,4/27/2016,469,479
7086361926,4/28/2016,354,367
7086361926,4/30/2016,485,489
7086361926,5/1/2016,388,407
7086361926,5/11/2016,451,463
7086361926,5/12/2016,444,457
7086361926,5/2/2016,440,459
7086361926,5/3/2016,456,461
7086361926,5/4/2016,420,436
7086361926,5/6/2016,322,333
7086361926,5/7/2016,530,548
7086361926,5/8/2016,481,510
7086361926,5/9/2016,427,438
8053475328,4/20/2016,486,493
8053475328,4/23/2016,331,337
8053475328,5/7/2016,74,75
8378563200,4/12/2016,338,356
8378563200,4/13/2016,447,487
8378563200,4/14/2016,424,455
8378563200,4/15/2016,513,533
8378563200,4/16/2016,611,689
8378563200,4/17/2016,525,591
8378563200,4/18/2016,398,451
8378563200,4/19/2016,387,421
8378563200,4/20/2016,381,409
8378563200,4/21/2016,396,417
8378563200,4/22/2016,441,469
8378563200,4/23/2016,565,591
8378563200,4/24/2016,458,492
8378563200,4/25/2016,388,402
8378563200,4/26/2016,550,584
8378563200,4/27/2016,531,600
8378563200,4/28/2016,506,556
8378563200,4/29/2016,527,562
8378563200,4/30/2016,468,555
8378563200,5/1/2016,475,539
8378563200,5/10/2016,342,391
8378563200,5/11/2016,368,387
8378563200,5/12/2016,496,546
8378563200,5/2/2016,351,385
8378563200,5/3/2016,405,429
8378563200,5/4/2016,441,477
8378563200,5/5/2016,381,417
8378563200,5/6/2016,323,355
8378563200,5/7/2016,459,513
8378563200,5/8/2016,545,606
8378563200,5/9/2016,359,399
8792009665,4/12/2016,458,493
8792009665,4/13/2016,531,552
8792009665,4/14/2016,486,503
8792009665,4/15/2016,363,377
8792009665,4/20/2016,528,547
8792009665,4/22/2016,391,407
8792009665,4/23/2016,339,360
8792009665,4/27/2016,423,428
8792009665,4/28/2016,402,416
8792009665,4/29/2016,398,406
8792009665,4/30/2016,343,360
8792009665,5/1/2016,503,527
8792009665,5/2/2016,415,423
8792009665,5/3/2016,516,545
8792009665,5/4/2016,439,463
